timestamp,temp,motor_speed,current_draw,battery_voltage,pitch
1.0,25.0,407.5,7.59,4.198,5.04
2.0,25.54,397.9,7.35,4.187,5.11
3.0,26.13,409.7,7.36,4.191,5.39
4.0,26.64,422.8,7.41,4.192,5.59
5.0,27.2,396.5,7.29,4.202,5.83
6.0,27.6,396.5,7.23,4.194,5.82
7.0,28.2,423.7,7.73,4.183,6.19
8.0,28.78,411.5,7.5,4.191,6.02
9.0,29.27,393.0,7.3,4.179,6.37
10.0,29.9,408.1,7.22,4.191,6.52
11.0,30.55,393.0,7.36,4.181,6.75
12.0,30.94,393.0,7.13,4.182,6.78
13.0,31.41,403.6,7.67,4.187,6.72
14.0,31.88,371.3,6.63,4.173,6.83
15.0,32.32,374.1,7.16,4.171,6.99
16.0,32.94,391.6,7.11,4.174,6.99
17.0,33.43,384.8,6.84,4.18,6.94
18.0,33.91,404.7,7.17,4.166,6.94
19.0,34.21,386.4,6.93,4.158,7.02
20.0,34.76,378.8,6.97,4.169,6.84
21.0,35.12,422.0,7.63,4.172,6.81
22.0,35.64,396.6,7.03,4.174,6.94
23.0,36.17,401.0,7.21,4.164,6.47
24.0,36.77,378.6,7.31,4.163,6.31
25.0,37.1,391.8,7.42,4.169,6.43
26.0,37.27,401.7,7.31,4.153,6.13
27.0,37.74,382.7,6.95,4.159,6.0
28.0,38.4,405.6,7.31,4.16,5.78
29.0,38.92,391.0,7.19,4.16,5.64
30.0,39.38,395.6,6.93,4.154,5.64
31.0,39.75,391.0,7.01,4.155,5.36
32.0,40.23,427.8,7.28,4.141,5.17
33.0,40.56,399.8,7.28,4.149,4.74
34.0,41.0,384.1,7.09,4.153,4.57
35.0,41.45,412.3,7.29,4.144,4.21
36.0,42.0,381.7,7.24,4.148,4.22
37.0,42.67,403.1,7.0,4.149,4.21
38.0,43.11,370.6,6.47,4.144,3.99
39.0,43.47,380.1,6.95,4.145,3.75
40.0,43.87,403.0,7.45,4.138,3.62
41.0,44.09,411.1,7.7,4.14,3.42
42.0,44.39,402.6,7.15,4.142,3.38
43.0,44.74,398.3,7.39,4.139,3.33
44.0,45.06,395.5,7.12,4.134,3.01
45.0,45.43,377.8,6.83,4.136,3.13
46.0,45.71,389.2,7.21,4.137,3.14
47.0,46.19,393.1,7.23,4.122,2.97
48.0,46.56,415.9,7.12,4.137,3.07
49.0,46.91,405.2,7.57,4.128,3.29
50.0,47.24,373.6,7.08,4.13,3.02
51.0,47.62,404.9,7.15,4.132,3.12
52.0,48.03,394.2,7.19,4.118,3.07
53.0,48.23,389.8,7.15,4.12,3.25
54.0,48.49,409.2,7.39,4.121,3.38
55.0,48.82,415.5,7.32,4.117,3.47
56.0,49.07,414.0,7.28,4.128,3.49
57.0,49.32,387.4,7.01,4.113,3.76
58.0,49.62,395.4,7.36,4.114,4.04
59.0,50.03,405.0,7.38,4.116,4.12
60.0,50.35,414.6,7.35,4.107,4.35
61.0,50.69,392.8,7.25,4.11,4.42
62.0,51.1,397.2,6.59,4.112,4.71
63.0,51.39,383.4,7.18,4.107,4.86
64.0,51.77,382.1,6.58,4.107,4.94
65.0,52.06,412.2,7.31,4.104,5.26
66.0,52.39,420.3,7.28,4.097,5.33
67.0,52.63,398.9,6.92,4.105,5.56
68.0,52.69,415.1,7.66,4.111,5.83
69.0,52.99,405.4,7.19,4.101,6.02
70.0,53.43,390.3,7.12,4.1,6.04
71.0,53.82,405.4,7.27,4.101,6.42
72.0,54.19,423.1,7.64,4.09,6.52
73.0,54.61,399.5,7.21,4.103,6.52
74.0,54.92,423.5,7.3,4.094,6.55
75.0,55.23,360.7,6.81,4.1,6.78
76.0,55.44,412.3,7.29,4.087,6.83
77.0,55.63,401.3,6.91,4.098,6.95
78.0,55.96,395.5,7.05,4.092,6.94
79.0,56.3,401.4,7.52,4.089,6.8
80.0,56.56,370.2,6.92,4.086,6.96
81.0,56.78,396.7,7.08,4.082,6.95
82.0,57.02,405.4,7.21,4.088,7.0
83.0,57.37,422.2,7.47,4.081,6.81
84.0,57.48,392.2,7.5,4.069,6.97
85.0,57.49,387.9,7.09,4.072,6.52
86.0,57.69,392.5,7.17,4.075,6.73
87.0,57.86,413.7,7.61,4.076,6.45
88.0,58.05,404.9,7.32,4.073,6.41
89.0,58.29,392.1,7.03,4.078,6.18
90.0,58.46,407.7,7.28,4.06,6.12
91.0,58.85,401.5,7.21,4.069,5.79
92.0,59.1,414.5,7.41,4.058,5.53
93.0,59.35,389.5,7.19,4.07,5.59
94.0,59.67,395.1,7.14,4.064,5.24
95.0,59.76,394.1,7.26,4.065,5.07
96.0,60.09,378.0,6.85,4.057,4.97
97.0,60.31,404.4,7.28,4.067,4.55
98.0,60.62,403.9,6.86,4.064,4.52
99.0,60.75,400.1,7.38,4.06,4.21
100.0,60.81,396.5,7.22,4.055,4.07
101.0,61.11,378.8,7.08,4.057,3.92
102.0,61.39,393.7,6.53,4.05,3.6
103.0,61.52,394.9,7.54,4.056,3.52
104.0,61.63,388.0,6.99,4.058,3.6
105.0,61.96,397.6,7.39,4.054,3.43
106.0,62.05,406.1,7.08,4.044,3.23
107.0,62.44,428.3,7.75,4.048,3.18
108.0,62.55,402.6,7.03,4.038,3.06
109.0,62.81,403.9,7.13,4.046,3.17
110.0,62.98,398.9,7.57,4.044,2.99
111.0,63.2,371.2,6.73,4.031,3.02
112.0,63.35,399.6,7.24,4.033,3.13
